t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp,emg_ch1_filtered,emg_ch1_envelope,emg_cycle_peak,emg_X
1756958138.6599588,11.829817771911621,128,163855,824405,13712976,-530058.4840969744,321349.0760122654,0,
1756958138.6609573,11.830816268920898,128,195575,790445,13713008,-471057.6484210292,325014.03564832045,0,
1756958138.6619573,11.83181619644165,128,191535,760750,13713040,-421150.0944480686,327370.7956685804,0,
1756958138.6639574,11.833816289901733,128,448090,730820,13713072,-163065.53643387058,319506.8310521075,0,
1756958138.664958,11.834816932678223,128,557195,722280,13713104,-48046.963008293285,312847.39259718294,0,
1756958138.6659575,11.835816383361816,128,1093500,684350,13713136,334516.5523691729,313378.36144940386,0,
1756958138.6674597,11.837318658828735,128,1206935,692255,13713168,460933.6698523321,318746.8112202154,0,
1756958138.6684637,11.838322639465332,128,1223875,716850,13713200,453414.33166742907,322061.21621227346,0,
1756958138.6694634,11.839322328567505,128,1265145,724935,13713232,441379.80871538725,324985.6119685962,0,
1756958138.6704664,11.840325355529785,128,1295360,730255,13713264,421895.85994330526,327368.53403721994,0,
1756958138.6724668,11.842325687408447,128,1310915,734605,13713296,355777.9003162475,328728.4150830059,0,
1756958138.6734674,11.843326330184937,128,1316545,737820,13713328,322438.3910247369,328574.10856102203,0,
1756958138.675466,11.845324993133545,128,1307660,737295,13713360,253407.43192961835,324978.93738144764,0,
1756958138.6779711,11.847830057144165,128,1289735,743170,13713392,180153.47993806738,316400.9178343901,0,
1756958138.6789715,11.848830461502075,128,1259040,743020,13713424,138356.84160232628,312034.16557653155,0,
1756958138.6809742,11.850833177566528,128,1206900,744165,13713456,69275.69061044115,300400.7746264395,0,
1756958138.6819744,11.85183334350586,128,936690,786385,13713488,-121777.2600289192,296020.829402022,0,
1756958138.6829746,11.85283350944519,128,672915,824045,13713520,-329179.9486445467,296833.9089470048,0,
1756958138.6849747,11.854833602905273,128,474945,840095,13713552,-457235.0220390865,304511.0136463565,0,
1756958138.6859746,11.855833530426025,128,387465,838425,13713584,-491800.1140174277,309102.3758209222,0,
1756958138.6884818,11.858340740203857,128,266795,829500,13713616,-477103.50393601885,319061.1098227669,0,
1756958138.6884818,11.858340740203857,128,117000,811485,13713648,-507955.25309959723,319534.66241754434,0,
1756958138.6904855,11.860344409942627,128,183360,770245,13713680,-450143.87922439585,325796.5114811677,0,
1756958138.7015033,11.871362209320068,128,317990,747485,13713712,-138055.33760678978,285083.3515990903,0,
1756958138.7110145,11.880873441696167,128,452465,730860,13713744,-2122.0287957998225,230492.83165205084,0,
